,Name,Status,Population,Address,location,point,latitude,longitude,altitude
586,Peytonville,Urban Community,1564,"Peytonville, Trinidad and Tobago","Peytonville Road, La Horquetta, San Raphael, 351443, Trinidad and Tobago","(10.6037807, -61.2897536, 0.0)",10.6037807,-61.2897536,0.0
587,Pinto Road,Urban Community,6817,"Pinto Road, Trinidad and Tobago","Pinto Road, Santa Rosa, Wallerfield, 300831, Trinidad and Tobago","(10.6151164, -61.2600374, 0.0)",10.6151164,-61.2600374,0.0
588,Real Springs,Urban Community,770,"Real Springs, Trinidad and Tobago","Nature garden, José Peralta, Virgen de las Nieves, Huayna Cápac, Cuenca, Azuay, EC010107, Ecuador","(-2.9064296, -79.0046022, 0.0)",-2.9064296,-79.0046022,0.0
589,Red Hill,Urban Community,2784,"Red Hill, Trinidad and Tobago","Red Hill, Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6633743, -61.4839044, 0.0)",10.6633743,-61.4839044,0.0
590,Samaroo Village,Urban Community,1698,"Samaroo Village, Trinidad and Tobago","Samaroo Village, Malabar, Arima, 300831, Trinidad and Tobago","(10.6295236, -61.2878978, 0.0)",10.6295236,-61.2878978,0.0
591,Santa Margarita,Urban Community,1341,"Santa Margarita, Trinidad and Tobago","Santa Margarita Circular Road, Poolside, Saint Augustine, 310407, Trinidad and Tobago","(10.6542033, -61.4022955, 0.0)",10.6542033,-61.4022955,0.0
592,Santa Rosa Heights,Urban Community,3594,"Santa Rosa Heights, Trinidad and Tobago",,,,,
593,Sherwood Park,Urban Community,2611,"Sherwood Park, Trinidad and Tobago","Sherwood Park, Hampden, Carnbee, Tobago, Trinidad and Tobago","(11.1663245, -60.7794264, 0.0)",11.1663245,-60.7794264,0.0
594,Spring Village,Urban Community,2635,"Spring Village, Trinidad and Tobago",Trinidad and Tobago,"(10.8677845, -60.9821067, 0.0)",10.8677845,-60.9821067,0.0
595,St. Augustine,Urban Community,3103,"St. Augustine, Trinidad and Tobago","Saint Augustine, Port of Spain, 686, Trinidad and Tobago","(10.6464474, -61.4008066, 0.0)",10.6464474,-61.4008066,0.0
596,St. Augustine South,Urban Community,1015,"St. Augustine South, Trinidad and Tobago","Saint Augustine, Port of Spain, 686, Trinidad and Tobago","(10.6464474, -61.4008066, 0.0)",10.6464474,-61.4008066,0.0
597,St. Helena Village,Urban Community,3704,"St. Helena Village, Trinidad and Tobago","Saint Helena, ???, Trinidad and Tobago","(10.5822408, -61.3401634, 0.0)",10.5822408,-61.3401634,0.0
598,St. John's Village,Semi-Urban Community,632,"St. John's Village, Trinidad and Tobago",,,,,
599,St. Joseph,Urban Community,4542,"St. Joseph, Trinidad and Tobago","Saint Joseph, Port of Spain, 310407, Trinidad and Tobago","(10.6555564, -61.4139447, 0.0)",10.6555564,-61.4139447,0.0
600,Surrey Village,Urban Community,734,"Surrey Village, Trinidad and Tobago","Surrey Village, Lopinot Road, Sunrise Park, Arouca, Lopinot, 1 868-681-2822, Trinidad and Tobago","(10.6564344, -61.3270749, 0.0)",10.6564344,-61.3270749,0.0
601,Tacarigua,Urban Community,4752,"Tacarigua, Trinidad and Tobago","Tacarigua, Port of Spain, 1 868-681-2822, Trinidad and Tobago","(10.6437356, -61.361173, 0.0)",10.6437356,-61.361173,0.0
602,Trincity,Urban Community,1585,"Trincity, Trinidad and Tobago","Trincity, Port of Spain, 350509, Trinidad and Tobago","(10.6343224, -61.3567735, 0.0)",10.6343224,-61.3567735,0.0
603,Tumpuna Road,Urban Community,939,"Tumpuna Road, Trinidad and Tobago","Tumpuna Road, San Raphael, Couva-Tabaquite-Talparo, 300831, Trinidad and Tobago","(10.5869722, -61.235245, 0.0)",10.5869722,-61.235245,0.0
604,Tunapuna,Urban Community,16701,"Tunapuna, Trinidad and Tobago","Tunapuna, Port of Spain, 686, Trinidad and Tobago","(10.64464, -61.3916118, 0.0)",10.64464,-61.3916118,0.0
605,Valley View,Urban Community,1056,"Valley View, Trinidad and Tobago","Valley View, La Seiva, 310407, Trinidad and Tobago","(10.6864519, -61.4098596, 0.0)",10.6864519,-61.4098596,0.0
606,Valsayn,Urban Community,2552,"Valsayn, Trinidad and Tobago","Valsayn, Port of Spain, 12333, Trinidad and Tobago","(10.6344277, -61.41594, 0.0)",10.6344277,-61.41594,0.0
607,Wallerfield,Rural Community,4218,"Wallerfield, Trinidad and Tobago","Wallerfield, Arima, 300831, Trinidad and Tobago","(10.6232172, -61.2386593, 0.0)",10.6232172,-61.2386593,0.0
608,Warren Village,Urban Community,2125,"Warren Village, Trinidad and Tobago","Warren Road Recreational Gorund, Warrensville, 00000, Trinidad and Tobago","(10.5779858, -61.3947744, 0.0)",10.5779858,-61.3947744,0.0
